性别（男0 女1 其余2）,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 台球10 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3社交媒体活动 4公关宣传、采访 5人际关系 6商业活动 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数
0,2,1,1,1,#篮网战胜勇士##欧文38分##库里26分#【库里汤神连丢关键三分 勇士遭篮网17分大逆转】篮网双杀勇士，欧文38+7+9，末节12分收割比赛；库里空砍26+6+7，汤普森17中4，三分7中0。 ,2023/1/23,5,2,0
0,2,1,1,6,排面气氛拉满！腾讯体育球迷、主播新春贺岁视频，登上勇士主场大屏幕。牌面气氛拉满！腾讯体育球迷、主播新春贺岁视频，登上勇士主场大屏幕！ ,2023/1/23,7,0,2
0,2,1,1,1,【詹皇对飙利拉德！正视频直播湖人vs开拓者】双方关键卡位战，詹姆斯率队冲连胜，威少施罗德能否再次爆发？看直播>>扫一扫下载 腾讯体育APP ,2023/1/23,1,0,0
0,2,0,1,1,【库里复出大战欧文！正视频直播篮网vs勇士】库里领衔4大主力复出，勇士五小首发欲报30分惨败之仇，欧文上一场狂轰48分，此役能否再次爆发？扫一扫下载 腾讯体育APP ,2023/1/23,4,0,0
0,1,0,1,1,C罗沙特联赛首秀迎开门红，利雅得胜利1-0重返榜首，中超旧将塔利斯卡头球制胜。腾讯体育 ,2023/1/23,6,1,0
0,1,0,1,1,#阿森纳3比2曼联##恩凯蒂亚绝杀#神剧情！英超阿森纳3-2复仇曼联，恩凯蒂亚第90分钟蝎子摆尾绝杀腾讯体育 ,2023/1/23,7,0,1
0,1,0,1,1,【正视频直播德甲：多特vs奥格斯堡】贝林厄姆领衔首发，多特能否终结德甲2连败？看直播>>扫一扫下载 腾讯体育APP ,2023/1/22,0,0,0
0,7,0,1,5,乒乒乓乓不止白色的小球还有一颗心属白衣的冠军之心祝美凌格樊振东生日快乐！#花式拜年大赛# #皇马球员求助樊振东# #银河战舰兔步青云# 皇马 皇家马德里足球俱乐部的微博视频 ,2023/1/22,9218,1068,1896
1,2,0,1,4,#中国女篮登上央视春晚#  中国女篮亮相央视春晚：中国人永远有重回巅峰的信心和能力！中国女篮亮相央视春晚：中国人永远有重回巅峰的信心和能力！ ,2023/1/22,13,1,2
0,1,0,1,1,【英超#利物浦0比0切尔西#  新年3轮不胜】切尔西亿元先生穆德里克替补首秀，禁区连过两人射门表现抢眼；哈弗茨3分钟破门被VAR吹出>>腾讯体育 ,2023/1/21,6,1,0
0,3,0,1,1,【豪取24连胜！德约3-0晋级澳网16强】澳网男单第三轮，德约科维奇首盘赢抢七，直落三盘3-0淘汰迪米特洛夫，豪取澳网24连胜+晋级16强>>腾讯体育 ,2023/1/21,10,0,0
0,13,0,2,1,@NFL橄榄球 解说大咖齐送新春祝福，明天大年初一上午9点，腾讯体育视频直播NFL季后赛：巨人vs老鹰。 腾讯体育的微博视频 ,2023/1/21,43,7,11
0,2,0,1,1,#湖人战胜灰熊#【施罗德制胜抢断+准绝杀！湖人逆转终结灰熊11连胜】施罗德最后时刻连得5分，关键抢断打成2+1准绝杀，詹姆斯23+9+6，威少29分创赛季新高，克拉克错失绝平罚球。 腾讯体育 ,2023/1/21,7,1,0
0,2,0,1,1,正视频直播灰熊vs湖人，詹姆斯对决莫兰特，能否终结对手11连胜？看直播>>扫一扫下载 腾讯体育APP ,2023/1/21,1,0,0
0,2,0,1,1,免费看！正视频直播篮网vs爵士，欧文能否率队终结4连败？戳直播>>扫一扫下载 腾讯体育APP ,2023/1/21,1,1,0
0,1,0,2,10,#尤文图斯因财务造假案被扣15分#重磅罚单！意大利足协官方宣布，尤文因财务造假被扣15分，多名高管禁足。腾讯体育 ,2023/1/21,5,2,1
0,1,0,1,1,【梅罗对决上演进球大战！梅西闪击+造点 C罗梅开二度】#利雅得全明星队4比5巴黎圣日耳曼##梅西C罗击掌拥抱# 梅西破门并制造点球，C罗梅开二度，姆巴佩1球2助攻，内马尔罚丢点球，拉莫斯进球但失误，中超旧将张贤秀打入1球，塔利斯卡世界波，贝尔纳特吃到红牌。腾讯体育 ,2023/1/20,13,1,4
0,2,2,1,1,【詹姆斯空砍32+8+9 湖人憾负国王无缘连胜 】威少19+7+5，湖人首发五人仅老詹得分上双；国王豪取五连胜，福克斯31+6，小萨替身7中7。中距离连投连中 詹姆斯布莱恩特弹无虚发 ,2023/1/19,2,2,1
0,2,0,1,1,【詹姆斯率队冲连胜！正视频直播国王vs湖人】湖人上一次对阵国王2分险胜，施罗德准绝杀。此役紫金军团能否终结对手4连胜？看直播>>扫一扫下载 腾讯体育APP ,2023/1/19,3,0,0
0,2,0,1,1,【17中6+三分5中0！兰德尔成浪投大王】兰德尔出战34分钟，17投仅14分，惨被库兹马27+13+7打爆，赛后径直走回更衣室，尼克斯遭遇两连败。剧本都不敢这么写 兰德尔罚球不中挂筐补扣 ,2023/1/19,14,3,0
2,2,0,2,4,福兔綿延年富一年 腾讯NBA主持人嘉宾在这里给您拜年了！福兔綿延年富一年 腾讯NBA主持人嘉宾在这里给您拜年了！ ,2023/1/19,5,1,0
0,2,0,2,1,【男篮最新集训名单引热议 洋帅解释选人标准】联赛中表现出色的张宁等人落选，徐杰、姜伟泽等前国手也无缘集训名单。男篮新帅用这三个词解释选拔标准>>腾讯体育 ,2023/1/19,2,2,0
0,2,0,3,4,一场特别的篮球赛事即将开赛！原创篮球国漫#左手上篮动画定档0202#，2月2日起，腾讯视频&腾讯体育全网首播！每周四上午10点更新，感受竞技体育不同的魅力表达，球场上，篮框下，我们不见不散！制作方：@心魂动漫 独播平台：@腾讯视频 @极光TV @腾讯体育官方支持单位：@中国篮球协会 ,2023/1/19,2,0,0
0,2,0,1,1,【男篮18人集训名单出炉：周琦郭艾伦领衔】广东赵睿、胡明轩入选，辽宁郭艾伦、赵继伟、张镇麟三将入围，曾凡博上榜。详细名单>> ,2023/1/19,56,27,3
0,2,1,1,1,【曝欧文将和篮网续约 高管怕他再联手詹皇】名记报道欧文今夏将留守布鲁克林；联盟高管建议篮网不要只给2年合同，以防湖人抢人>> ,2023/1/19,8,2,0
0,2,0,1,1,【湖人补强方案：2换1引援马刺锋线悍将】薪资专家支招湖人两大交易方案：贝弗利+次轮签换马刺理查德森；2换2获尼克斯两大神射。详细>>腾讯体育 ,2023/1/19,2,0,0
