性别（男0 女1 其余2）,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 台球10 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3社交媒体活动 4公关宣传、采访 5人际关系 6商业活动 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数,话题
1,9,0,1,1,"#斯坎迪奇女排无缘意大利杯四强# 🏐️意大利杯女排四分之一决赛，@女排朱婷ZT 效力的斯坎迪奇俱乐部最终2比3不敌对手，无缘晋级四强。🆚本场比赛，朱婷夺得全场最高分26分，5局比分：25-20, 22-25, 25-15, 23-25, 13-15。#朱婷26分# 今日排球的微博视频 ",1/26/2023,18,1,2,"斯坎迪奇女排无缘意大利杯四强,朱婷26分"
1,1,0,1,3,#内马尔晒和lisa合影# 📷内马尔在个人社交网站晒出和lisa合影这又是什么双厨之喜？#Lisa和内马尔同框照# #看足球上咪咕# LISA ,1/26/2023,489,23,7,"内马尔晒和lisa合影,Lisa和内马尔同框照,看足球上咪咕"
1,7,0,1,1,��#刘炜珊3比2钱天一# 🆚女单1/4决赛，@L炜珊Ss  3-2 @钱天一321  【14-12、4-11、11-7、10-12、11-9】#国乒包揽多哈站女单四强# #WTT支线赛多哈站2023# 咪咕体育的微博视频 ,1/25/2023,17,3,2,"刘炜珊3比2钱天一,国乒包揽多哈站女单四强,WTT支线赛多哈站2023"
1,7,0,1,1,��#蒯曼3比1杜凯琹##国乒包揽多哈站女单四强#🆚女单1/4决赛，蒯曼@kuaiman0207 3-1 @杜凱琹 【11-6、9-11、11-9、11-6】国乒女队包揽了#WTT支线赛多哈站2023# 女单四强。 咪咕体育的微博视频 ,1/25/2023,34,3,2,"蒯曼3比1杜凯琹,国乒包揽多哈站女单四强,WTT支线赛多哈站2023"
1,2,0,1,2,��#同曦老板娘检查林葳作业#离开球场才发现，林葳是个19岁的孩子。同曦老板娘突击林葳、邬挺嘉房间，给队员们定制西装。顺便检查了一下林葳的作业。[干饭人] 有网友说：“是前段时间给他发了一套高中的练习册”.... #CBA# CBA最前沿的微博视频 ,1/25/2023,159,5,7,"同曦老板娘检查林葳作业,CBA"
1,7,0,1,1,❤️又是3比0！#钱天一石洵瑶3比0杜凯琹朱成竹# 🏓️#WTT支线赛多哈站2023# 女双半决赛：@钱天一321 /@石洵瑶w 3-0 @杜凱琹 /@朱成竹_zenobia 【11-9、11-3、11-7】#看WTT上咪咕# 咪咕体育的微博视频 ,1/25/2023,20,3,1,"钱天一石洵瑶3比0杜凯琹朱成竹,WTT支线赛多哈站2023,看WTT上咪咕"
1,6,0,1,1,��️#印尼500赛何冰娇进次轮#🆚@何冰娇的小号 15-21、21-12、21-7 奥原希望何冰娇逆转战胜奥原希望挺进次轮，下一轮对手是玛莉丝卡。#2023年印尼羽毛球大师赛#  ,1/25/2023,19,1,0,"印尼500赛何冰娇进次轮,2023年印尼羽毛球大师赛"
1,1,0,3,2,甜蜜！#梅西与妻子秀恩爱晒亲吻照#梅西分享一家人度假照，与安东内拉和孩子们快乐泡温泉。一向腼腆的梅西大方秀起恩爱，抱着安东内拉亲吻。#梅西一家去滑雪##看足球上咪咕#  梅西 ,1/25/2023,2899,197,61,"梅西与妻子秀恩爱晒亲吻照,梅西一家去滑雪,看足球上咪咕"
1,1,0,1,1,#中国女足4人入选亚足联最佳阵容# 🏆亚足联2022年女足最佳阵容：王霜王珊珊领衔，中国女足4人入选。门将：@zhu朱钰中场：@女足王霜前锋：@王珊珊wss11 、@女足李影LeeCR [2023]2023继续为中国女足加油！#水庆霞说2023请相信中国女足# ,1/25/2023,157,11,11,"中国女足4人入选亚足联最佳阵容,水庆霞说2023请相信中国女足"
1,7,0,1,1,��#钱天一石洵瑶3比0江芷林黄凯彤#🏓️#WTT支线赛多哈站2023# 女双1/4决赛： @钱天一321 /@石洵瑶w 3-0 江芷林/黄凯彤（11-2、11-4、11-8）@L炜珊Ss /@范思琦rice 3-0 韦格辛姐妹（11-9、11-6、11-4）#看WTT上咪咕# 咪咕体育的微博视频 ,1/25/2023,9,0,0,"钱天一石洵瑶3比0江芷林黄凯彤,WTT支线赛多哈站2023,看WTT上咪咕"
1,3,0,1,1,#杨钊煊詹皓晴止步澳网女双八强#🏸#澳网2023#女双1/4决赛，杨钊煊@珠珠大志向 /詹皓晴以两个1-6不敌高芙/佩古拉，无缘晋级四强。咪咕体育的微博视频 ,1/25/2023,7,0,0,"杨钊煊詹皓晴止步澳网女双八强,澳网2023"
1,3,0,1,1,��#萨巴伦卡首进澳网四强##澳网2023#5号种子萨巴伦卡6-3/6-2直落两盘击败维基奇，首度晋级澳网半决赛。她将与波兰选手里内特，争夺一个决赛席位。澳网AustralianOpen的微博视频 ,1/25/2023,4,1,0,"萨巴伦卡首进澳网四强,澳网2023"
1,2,0,1,1,✨#WCBA全明星阵容公布#2022-2023赛季WCBA全明星周末阵容名单公布⬇️🏀北区：杨力维、杨舒予、黄思静、李月汝、张茹、王丽丽、李缘、杨衡瑜、唐毓、陈晏宇、马卓、张玲阁🏀南区：王思雨、李梦、韩旭、金维娜、许晨妍、罗欣棫、张芷婷、彭华倩、万济圆、迪拉娜·迪里夏提、赵志芳、彭诗晴#杨力维杨舒予入选WCBA全明星##WCBA#,1/25/2023,16,2,0,"WCBA全明星阵容公布,杨力维杨舒予入选WCBA全明星,WCBA"
1,7,0,1,3,#倪夏莲心态太棒了#🏓#WTT常规挑战赛多哈站2023#，@乒乓倪夏莲 2比3遗憾止步女单1/16倪夏莲发布视频表示：不管输赢，至少我可以得到很充足的阳光，来到一个阳光灿烂的地方，心情还是非常好的，希望大家和我一起，分享这个阳光灿烂的日子#倪奶奶的乒乓日记# 乒乓倪夏莲的微博视频,1/25/2023,19,1,1,"倪夏莲心态太棒了,WTT常规挑战赛多哈站2023,倪奶奶的乒乓日记"
1,3,0,1,1,#里内特首进大满贯四强#🎾#澳网2023#波兰老将里内特实现职业生涯重大突破，6-3/7-5战胜前世界第一卡-普利斯科娃，晋级女单四强。她也成为继A拉和斯瓦泰克后，第三位跻身大满贯四强的波兰女选手。 ,1/25/2023,13,1,0,"里内特首进大满贯四强,澳网2023"
1,9,0,1,1,��#朱婷姚迪备战意大利杯#⏰北京时间1月26号凌晨03:30，斯坎迪奇将在意大利杯1/4决赛中对阵贝加莫[努力]@女排朱婷ZT @Xback女排姚迪 加油SavinoDelBeneVolley的微博视频 ,1/25/2023,23,1,1,朱婷姚迪备战意大利杯
1,1,0,3,2,#梅西一家去滑雪#⛷️梅西一家与小法一家相约滑雪游玩。安东内拉在社媒上晒出了全家的合照，照片中梅西只漏出了眼睛#梅西##梅西计划下届美洲杯前继续为国效力# ,1/25/2023,73,13,0,"梅西一家去滑雪,梅西,梅西计划下届美洲杯前继续为国效力"
1,7,0,1,6,#孙颖莎写福字# 🎉今日送福嘉宾来咯！萌兔送福 卯门生喜🎁㊗️@孙颖莎 为大家送福来啦！#体坛花式贺新春##看乒乓球上咪咕#WTT世界乒联的微博视频 ,1/25/2023,72,4,3,"孙颖莎写福字,体坛花式贺新春,看乒乓球上咪咕"
1,3,0,1,1,��#李娜澳网夺冠9周年#🎾2014年1月25日澳大利亚网球公开赛女单决赛，@李娜 以7-6/6-0力克手齐布尔科娃，三进决赛之后终于首夺澳网冠军。这是李娜职业生涯的第二个大满贯冠军，也是亚洲人首夺澳网单打冠军！ #澳网2023# 咪咕体育的微博视频 ,1/25/2023,497,25,42,"李娜澳网夺冠9周年,澳网2023"
1,13,0,1,6,��#张伟丽跨次元演绎格斗# @张伟丽MMA &比特数智人@尤子希_Thea携手带来体育创意秀《中国故事·武极未来》！一场跨次元的格斗互动，这一次不为金腰带而战，而是为实现自我热爱与价值而战！#2023网络视听年度盛典# 咪咕体育的微博视频 ,1/25/2023,24,2,0,"张伟丽跨次元演绎格斗,2023网络视听年度盛典"
1,13,0,1,6,��#张伟丽跨次元演绎格斗# @张伟丽MMA &比特数智人@尤子希_Thea 对话。张伟丽分享格斗历程和感悟，“竞技者，输赢都是必须面对的。只有拥有实力和决心，才能在严酷的丛林中生存。 ”#2023网络视听年度盛典# 咪咕体育的微博视频 ,1/25/2023,5,0,2,"张伟丽跨次元演绎格斗,2023网络视听年度盛典"
1,11,0,1,6,��#徐梦桃网络视听盛典再唱我是第一# #上咪咕看网络视听年度盛典#冰雪赛场，勇夺第一！@徐梦桃 在2023网络视听年度盛典携手数智人桃小桃再唱《我是第一》满满朝气与火力，迸发着坚定和力量～咪咕文娱的微博视频 ,1/25/2023,29,47,3,"徐梦桃网络视听盛典再唱我是第一,上咪咕看网络视听年度盛典"
1,7,0,1,1,��️#WTT支线赛多哈站2023# 女单R32@钱天一321 3-0张菀玲【11-7，11-9，11-2】@小胖子何卓佳 3-0李凯敏【11-3，11-1，11-4】 陈熠3-1塔尼娅-帕兰【8-11，11-8，11-8，11-8】@石洵瑶w 3-0张璇【11-7，11-7，11-8】@Q齐菲 3-0安娜-韦格辛【11-3，11-4，11-4】@范思琦rice 3-0伊万娜-辛格尔赞【12-10，11-7，11-9】 🆚#钱天一3比0张菀玲##何卓佳3比0李凯敏#,1/24/2023,14,0,0,"WTT支线赛多哈站2023,钱天一3比0张菀玲,何卓佳3比0李凯敏"
1,7,0,1,1,��#张瑞3比0维格兹恩#🏓️#WTT支线赛多哈站2023# 女单R32：蒯曼@kuaiman0207 3-0布拉泰科 【11-6/11-8/11-5】@Z张瑞Z 3比0 维格兹恩【11-8/11-4/11-5】@L炜珊Ss 3-0黄凯彤 【11-7/11-7/11-3】 咪咕体育的微博视频 ,1/24/2023,7,2,1,"张瑞3比0维格兹恩,WTT支线赛多哈站2023"
1,1,0,2,1,⚽️#女足世界杯用球曝光#[2023]#2023女足世界杯# 用球曝光，灵感来源澳大利亚和新西兰的景观。 你觉得好看吗？ 咪咕体育的微博视频 ,1/24/2023,25,3,1,"女足世界杯用球曝光,2023女足世界杯"
1,7,0,1,1,��#钱天一石洵瑶3比0魏睿萱舒麟茜#🏓️WTT支线赛多哈站女双R16：@L炜珊Ss /@范思琦rice 3比0奥拉万/张菀玲【11-3/11-5/11-7】@钱天一321 /@石洵瑶w 3比0魏睿萱/舒麟茜【11-7/11-7/11-4】 #刘炜珊范思琦3比0奥拉万张菀玲##WTT支线赛多哈站2023# 咪咕体育的微博视频 ,1/24/2023,8,0,0,"钱天一石洵瑶3比0魏睿萱舒麟茜,刘炜珊范思琦3比0奥拉万张菀玲,WTT支线赛多哈站2023"
