性别（男0 女1 其余2）,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 台球10 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3社交媒体活动 4公关宣传、采访 5人际关系 6商业活动 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数,话题
1,1,0,1,1,【#中国女足开启首期集训# 】中国女足已于1月26日（大年初五）在广州番禺广州足球俱乐部训练基地集结，开启为期2周的2023首期集训。2023年，中国女足面临三项重要赛事：7月20日至8月20日在澳大利亚和新西兰举行的女足世界杯、9月开幕的杭州亚运会以及10月开始的巴黎奥运会女足预选赛。中国女足主教练水庆霞表示：“今年中国女足的三大比赛任务很重，我们的训练要求会比以往更加严格。教练组和队员之间相互信任，达成了统一的目标。我们将做好充足准备，全力以赴踢好每一场比赛。” #中国女足抵达广州开启集训#,2023/1/27,54,11,6,"中国女足开启首期集训,中国女足抵达广州开启集训"
1,7,0,1,4,【#王曼昱写福字# 】大年初六，今日送福嘉宾——@王曼昱 ，福兔迎新，前“兔”似锦。WTT世界乒联的微博视频 ,2023/1/27,28,3,4,王曼昱写福字
1,7,0,1,1,#钱天一石洵瑶多哈站女双夺冠# #钱天一石洵瑶3比1张瑞蒯曼# WTT支线赛多哈站2023女双决赛：@钱天一321 /@石洵瑶w 3-1 @Z张瑞Z /蒯曼@kuaiman0207 (11-4、11-13、11-6、13-11）#WTT支线赛多哈站2023#咪咕体育的微博视频 ,2023/1/26,10,1,3,"钱天一石洵瑶多哈站女双夺冠,钱天一石洵瑶3比1张瑞蒯曼,WTT支线赛多哈站2023"
1,3,0,1,1,#萨巴伦卡晋级澳网决赛# #澳网2023# 女单半决赛，5号种子萨巴伦卡以7-6(1) /6-2击败波兰选手里内特，新赛季10战全胜且不失一盘，职业生涯首次跻身大满贯单打决赛！决赛她将对阵莱巴金娜。 ,2023/1/26,23,3,1,"萨巴伦卡晋级澳网决赛,澳网2023"
1,3,0,1,1,#莱巴金娜晋级澳网决赛# #澳网2023# 女单半决赛，新科温网冠军莱巴金娜以7-6(4) /6-3击败两届赛会冠军阿扎伦卡，一路连克去年赛会亚军和三位大满贯得主，职业生涯第二次跻身大满贯决赛爱奇艺体育网球的微博视频 ,2023/1/26,27,3,2,"莱巴金娜晋级澳网决赛,澳网2023"
1,6,0,1,1,#印尼500赛王懿律杜玥进八强# #印尼500赛王祉怡进八强# @王懿律enzo @杜玥yy 21-18/22-20 范德拉克/吉尔，@_王祉怡_ 21-12/21-16 米娅#2023年印尼羽毛球大师赛# ,2023/1/26,16,0,1,"印尼500赛王懿律杜玥进八强,印尼500赛王祉怡进八强,2023年印尼羽毛球大师赛"
1,6,0,1,1,#印尼500赛何冰娇无缘八强#  #2023年印尼羽毛球大师赛# @何冰娇的小号 19-21/17-21 玛莉丝卡无缘8强。 ,2023/1/26,12,2,1,"印尼500赛何冰娇无缘八强,2023年印尼羽毛球大师赛"
1,7,0,1,1,#WTT支线赛多哈站2023##蒯曼3比2刘炜珊#WTT支线赛多哈站2023女单半决赛：蒯曼@kuaiman0207 3-2 @L炜珊Ss(五局比分8-11、11-8、10-12、11-5、11-9)咪咕体育的微博视频 ,2023/1/26,4,0,2,"WTT支线赛多哈站2023,蒯曼3比2刘炜珊"
1,6,0,1,1,#印尼500赛刘圣书张殊贤进八强#刘圣书@皮-lss @Z_殊贤 21-11、21-12 松山奈未/志田千阳【1】#印尼500赛谭宁夏玉婷进八强#@谭宁-Tan @Grace夏玉婷 21-11、18-21、21-17 杨雅婷/杨佩琳下一轮：刘圣书/张殊贤🇨🇳 vs 谭宁/夏玉婷🇨🇳 #2023年印尼羽毛球大师赛# ,2023/1/26,11,1,1,"印尼500赛刘圣书张殊贤进八强,印尼500赛谭宁夏玉婷进八强,2023年印尼羽毛球大师赛"
1,1,0,3,2,#皮克首次晒和现女友合影#去年，皮克与夏奇拉分手，11月二人签署了孩子相关的协议。今天，皮克在与夏奇拉分手之后首次公开了与现女友克拉拉的合照。 ,2023/1/26,109,20,4,皮克首次晒和现女友合影
