性别（男0 女1 其余2）,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 台球10 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3社交媒体活动 4公关宣传、采访 5人际关系 6商业活动 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数,话题
0,2,0,1,1,【#凯尔特人战胜湖人# 】詹姆斯遭犯规被漏吹引争议，杰伦布朗加时超神，凯尔特人125-121双杀湖人。#杰伦布朗37分9篮板# ，塔图姆30分11篮板，布罗格登26分6篮板；湖人方面#詹姆斯41分9篮板# 8助攻，戴维斯16分10篮板，贝弗利15分。NBA的微博视频 ,2023/1/29,27,21,2,"凯尔特人战胜湖人,杰伦布朗37分9篮板,詹姆斯41分9篮板"
0,1,0,2,6,#阿森纳7000万镑求购凯塞多#据《每日邮报》消息，阿森纳向布莱顿提交第二份报价求购凯塞多，总价达到7000万镑。切尔西和阿森纳均对凯塞多感兴趣，前者报价5500万镑，后者报价6000万镑均被布莱顿拒绝，凯塞多在个人社媒表示离队意愿，这位球员缺席了球队的训练并被俱乐部放假。《每日邮报》表示，阿森纳向布莱顿提交第二份报价求购凯塞多，基础转会费6000万镑外加1000万镑附加费用，但预计布莱顿将再次拒绝，他们的要价是8000万镑。,2023/1/29,16,7,6,阿森纳7000万镑求购凯塞多
0,5,0,1,1,#姚捷在法国撑竿跳赛场夺银牌##姚捷刷新室内撑竿跳个人最好成绩#法国当地时间28日晚，在鲁贝进行的撑竿跳高专项赛中，中国选手姚捷以5米75的成绩夺得亚军，创造了个人室内最好成绩。另一位选手黄博凯以5米40夺得第八名。女子方面，牛春格4米45获得并列第四名，徐惠琴4米30并列第11位。 ,2023/1/29,62,4,3,"姚捷在法国撑竿跳赛场夺银牌,姚捷刷新室内撑竿跳个人最好成绩"
0,11,0,1,1,2023X-GAMES男子单板大跳台，@苏翊鸣 凭借第五跳的1980 夺得铜牌！ #苏翊鸣XGAMES夺铜##苏翊鸣1980成功#  XGamesChina的微博视频 ,2023/1/29,281,15,22,"苏翊鸣XGAMES夺铜,苏翊鸣1980成功"
0,11,0,1,1,2023X-Games男子大跳台比赛比赛第5轮，@苏翊鸣 完美完成1980，空中姿态、落地稳度无可挑剔 。#苏翊鸣1980成功#  ,2023/1/29,1348,103,11,苏翊鸣1980成功
0,2,0,2,1,#波波维奇74岁生日#今日是马刺主帅波波维奇的74岁生日，祝老爷子生日快乐。目前波波维奇执教战绩为1358胜735负，胜场数为NBA历史第一 ,2023/1/29,35,5,4,波波维奇74岁生日
0,1,0,1,1,#国足U17集结# 官方：中国U17国家男子足球队今天在珠海再度集结，开启2023年第二期集训，并将于3月至4月期间赴海外进行拉练，备战U17亚洲杯。 #U17国足2023第二期集训开启# ,2023/1/29,10,3,29,"国足U17集结,U17国足2023第二期集训开启"
0,2,0,1,1,#恩比德不满落选全明星首发#恩比德轰47+18率费城七连胜！赛后对于自己无缘全明星首发恩比德表示：“我一直不受尊重，这很酷；我只想要带领球队赢球，努力夺取总冠军。”洛译篮球的微博视频 ,2023/1/29,11,5,2,恩比德不满落选全明星首发
0,1,0,3,1,#马克龙支持俄罗斯参加巴黎奥运会# 据俄罗斯媒体报道，法国总统马克龙对于俄罗斯参加2024年巴黎奥运会持支持态度（当然，俄罗斯运动员可能需要以个人名义参赛）乌克兰、挪威等国表示激烈反对。乌克兰奥委会要在2月3日开会，然后发布声明，即俄罗斯和白俄罗斯选手以任何形式参加2024年奥运会的话，乌克兰都将抵制2024年巴黎奥运。#俄罗斯转会亚奥理事会的秘密#,2023/1/29,39,11,2,"马克龙支持俄罗斯参加巴黎奥运会,俄罗斯转会亚奥理事会的秘密"
0,2,0,1,4,据名记Jake Fischer报道，格兰特拒绝了开拓者提出的4年1.12亿美元的续约合同。格兰特希望可以在休赛期签下一份更大的合同，他最多可以得到一份5年2.33亿美元的续约合同。#格兰特拒绝提前续约开拓者# ,2023/1/29,7,6,6,格兰特拒绝提前续约开拓者
0,1,0,2,1,【#国奥2023年首次集训名单公布# 】北京时间昨天，国奥队2023年第一期集训名单公布，球队将于2月7日至27日在上海展开集训，备战2024年U23亚洲杯。29人名单：山东泰山足球俱乐部：阿卜杜肉苏力·阿不都拉木、贾非凡、易县龙浙江职业足球俱乐部：郑雪健上海海港足球俱乐部：阿布拉汗·哈力克北京国安足球俱乐部：阮奇龙、段德智天津津门虎足球俱乐部：杨梓豪、石炎上海申花足球俱乐部：朱越、朱启文、金顺凯、蒋志鑫、何龙海、费尔南多大连人职业足球俱乐部：赵健博、王金帅沧州雄狮足球俱乐部：马辅渔深圳市足球俱乐部：田子羿武汉长江足球俱乐部：刘俊贤、陈宇浩广州足球俱乐部：王世龙青岛海牛足球俱乐部：谢文能苏州东吴足球俱乐部：余隆赟、梁伟棚辽宁沈阳城市足球俱乐部：陈荣江西北大门足球俱乐部：苏毕·阿布力米提、刘文浩海外运动员：蹇韬,2023/1/29,13,10,2,国奥2023年首次集训名单公布
0,2,0,1,1,#奥尼尔杜兰特互怼#此前奥尼尔在节目中表示：我甚至不知道八村塁是谁，湖人想夺冠应该交易来比尔。随后，杜兰特转发该言论并问道：奥尼尔不懂球？对此，奥尼尔在线回复道：我不懂球，但我知道怎么梳头，或者是在我快要秃顶的时间决定剪头。我爱的永远都是大巴司机。而杜兰特则表示：该死，我就问了个简单的问题就被疯狂怼？#杜兰特吐槽奥尼尔#,2023/1/29,51,15,3,"奥尼尔杜兰特互怼,杜兰特吐槽奥尼尔"
0,10,0,1,1,#韦克林夺斯诺克单局限时赛冠军# #2023斯诺克单局限时赛# 结束决赛争夺，克里斯·韦克林119–0战胜19岁小将朱利安·勒克莱，以赛事单杆最高分赢下冠军两位中国选手袁思俊、周跃龙止步16强 世界斯诺克巡回赛的微博视频 ,2023/1/29,11,3,0,"韦克林夺斯诺克单局限时赛冠军,2023斯诺克单局限时赛"
0,1,0,2,1,#利雅得胜利主帅说C罗会回欧洲#利雅得胜利主帅鲁迪-加西亚：“C罗是一笔积极的引援，因为他帮助我们分散了对手后卫的注意。他是世界上最好的球员之一。他不会在利雅得胜利结束他的职业生涯，他会回到欧洲。” #C罗不会在利雅得胜利退役#  ,2023/1/29,103,18,1,"利雅得胜利主帅说C罗会回欧洲,C罗不会在利雅得胜利退役"
0,2,0,3,3,【#欧文末节表现看哭苏醒# 】篮网力克尼克斯，欧文末节狂飙21分，赛后@苏醒AllenSu 发博感叹欧文决胜时刻表现！#欧文末节21分#  ,2023/1/29,53,17,3,"欧文末节表现看哭苏醒,欧文末节21分"
0,6,0,1,1,#印尼500赛国羽进三项决赛# #2023年印尼羽毛球大师赛# 中国队杀进男双（何济霆、周昊东）、女双（刘圣书/张殊贤）和混双（冯彦哲/黄东萍 vs 蒋振邦/魏雅欣）三项决赛，混双提前锁定冠亚军。决赛将从今天下午两点开始，依次是女双、女单、混双、男单、男双 ,2023/1/29,9,0,0,"印尼500赛国羽进三项决赛,2023年印尼羽毛球大师赛"
0,13,0,2,1,#俄参加亚洲赛事不占用亚洲奥运名额#亚奥理事会执行主席辛格在接受印度媒体采访时表示，将为受邀参加亚洲赛事的俄罗斯和白俄罗斯运动员制定“特别的奥运资格选拔系统”，以避免占用亚洲选手的名额和奖牌。所以，最后会成为俄罗斯运动员独立参加奥运会？  ,2023/1/29,15,5,1,俄参加亚洲赛事不占用亚洲奥运名额
0,1,0,1,1,#登贝莱或无缘欧联杯战曼联#据西班牙科贝电台消息，巴萨球星登贝莱大腿前直肌受伤，预计将缺席3-4周，虽然伤病并不算特别严重，但球队教练团队希望谨慎处理这样一来，登贝莱恐将无缘欧联杯1/16决赛首回合与曼联的比赛#登贝莱或伤缺3至4周# ,2023/1/29,16,17,10,"登贝莱或无缘欧联杯战曼联,登贝莱或伤缺3至4周"
0,1,0,1,1,#纳瓦斯租借加盟诺丁汉森林#巴黎门将纳瓦斯昨天同意租借加盟诺丁汉森林，这样的话，巴黎的外租军团将会更加星光闪闪。看看目前大巴黎的外租军团：达格巴——斯特拉斯堡库尔扎瓦——富勒姆迪亚洛——莱比锡维纳尔杜姆——罗马埃雷拉——毕尔巴鄂帕雷德斯——尤文德拉克斯勒——本菲卡伊卡尔迪——加拉塔萨雷,2023/1/29,33,9,14,纳瓦斯租借加盟诺丁汉森林
0,3,0,1,5,#费德勒和blackpink同框#已经退役的瑞士天王费德勒晒出和女团blackpink的合照，次元壁打破了！ ,2023/1/29,81,18,11,费德勒和blackpink同框
0,1,0,1,1,北京时间今天凌晨，德甲第18轮，拜仁1比1战平法兰克福，拜仁已经连续三场联赛未尝胜绩，此前他们以同样的比分分别战平了莱比锡红牛和科隆。#拜仁3场不胜##拜仁1比1法兰克福# ,2023/1/29,8,5,5,"拜仁3场不胜,拜仁1比1法兰克福"
0,1,0,1,1,#什克里尼亚尔加盟巴黎# #什克夏窗自由身加盟巴黎# 名记罗马诺、迪马济奥报道，什克已经与巴黎签约，将在2023年6月自由身加盟。同时罗马诺表示，巴黎已经提交了一份报价，以在冬窗签下什克，不过国米想要2000万欧转会费。谈判还将继续，巴黎会尽力在冬窗拿下什克。  ,2023/1/29,10,1,4,"什克里尼亚尔加盟巴黎,什克夏窗自由身加盟巴黎"
0,1,0,1,1,#孙兴慜左脚世界波# 孙兴慜世界波打破僵局+梅开二度！帮助热刺在足总杯3-0战胜普雷斯顿。西北望看台的微博视频 ,2023/1/29,37,12,8,孙兴慜左脚世界波
0,1,0,1,1,#曼联主场11连胜##曼联3比1雷丁# 卡塞米罗梅开二度、弗雷德替补建功；姆本格扳回一城，曼联3-1击败雷丁，取得主场11连胜，晋级足总杯16强；胖虎本场比赛发挥出色：2粒进球，传球成功率82%，13次对抗8次成功，4次断球。#卡塞米罗4分钟2球# ,2023/1/29,20,3,9,"曼联主场11连胜,曼联3比1雷丁,卡塞米罗4分钟2球"
