性别,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3个人社交媒体活动 4公关宣传 5人际关系 6商业广告 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数,话题
0,1,0,3,4,梦幻联动！周杰伦：祝PSG的朋友们新春愉快 兔年行大运#周杰伦巴黎圣日耳曼梦幻联动# PP体育的微博视频 ,2023/1/21,9,1,1,周杰伦巴黎圣日耳曼梦幻联动
0,1,0,2,1,四亿妄为！伯利接手切尔西8个月豪掷4亿英镑北京时间1月21日，切尔西官方宣布马杜埃凯加盟球队，这是蓝军今年冬窗引进的第6名新援。尽管成绩不佳，但伯利接手蓝军之后，已经壕掷4亿英镑，为球队带来多达14名球员。伯利时代引援盘点（单位：美元）：1.韦斯利-福法纳：8700万2.穆德里克：7600万3.库库雷利亚：7000万4.斯特林：6000万5.马杜埃凯：4300万6.巴迪亚西勒：4100万7.库利巴利：4100万8.楚克维梅卡：1900万9.安德烈-桑托斯：1350万10.奥巴梅扬：1300万11.大卫-福法纳：1300万12.菲利克斯：1200万（租借）13.斯洛尼亚：1000万14.扎卡利亚：300万（租借）总计：5亿零150万美元，约合4亿零500万英镑#切尔西官宣马杜埃凯加盟#,2023/1/21,19,7,20,切尔西官宣马杜埃凯加盟
0,1,0,1,1,德甲-舒波-莫廷破门哈尔斯滕贝格扳平 拜仁1-1客平莱比锡#莱比锡1比1拜仁慕尼黑# PP体育的微博视频 ,2023/1/21,10,0,0,莱比锡1比1拜仁慕尼黑
0,1,0,2,10,尤文“做账门”被扣15分！多名前高管被禁足当地时间2023年1月20日，隶属于意大利足协的法院机构对尤文图斯增值获利案（也就是俗称的“做账门”）做出了宣判：尤文图斯俱乐部被扣除15个联赛积分，包括安德烈亚·阿涅利、帕拉蒂奇、内德维德等涉及案件的前俱乐部管理层也受到了相应的禁止参加足球活动的处罚。目前，尤文图斯已经就此提出了上诉。#尤文被扣15分# #尤文图斯11名高管被禁足# #尤文图斯因财务造假案被扣15分#,2023/1/21,36,14,13,"尤文被扣15分,尤文图斯11名高管被禁足,尤文图斯因财务造假案被扣15分"
0,1,0,1,1,官方：阿森纳签下布莱顿边锋特罗萨德 转会总价2600万镑 PP体育的微博视频 #阿森纳官宣特罗萨德加盟# ,2023/1/20,18,2,0,阿森纳官宣特罗萨德加盟
0,1,0,1,1,官方消息，阿森纳正式签下布莱顿边锋特罗萨德。特罗萨德将身披阿森纳19号球衣。官方未透露合同年限，但称球员签下了一份长约。据记者罗马诺消息，特罗萨德的转会费为2100万镑+500万镑浮动。特罗萨德现年28岁，比利时国脚，司职前锋。    球员曾效力于亨克、洛默尔、韦斯特洛、奥法瓦里与布莱顿等队。    2019年7月以1560万欧元转会费加盟布莱顿，三个半赛季代表球队出场121次，打进25球，并送出14次助攻。    在国家队层面，特罗萨德2020年9月才完成国家队首秀，目前代表比利时国家队出场24次，打进5球并助攻3次。2022卡塔尔世界杯上，特罗萨德代表比利时出场3次，其中1次为首发，没有进球和助攻。#阿森纳官宣特罗萨德加盟#,2023/1/20,22,2,7,阿森纳官宣特罗萨德加盟
0,1,0,1,1,沙特球队吉达国民官方宣布，中超金靴、中超冠军队武汉三镇外援马尔康加盟球队。据此前报道，马尔康的转会费高达450万欧元，年薪也是在三镇的三倍。吉达国民在公告中表示，马尔康将于当地时间晚上20点30分乘飞机抵达沙特机场，然后进行体检并正式签约。吉达国民是沙特老牌强队，球队上赛季遭遇降级，为了升级，球队进行了重金引援。现年28岁的巴西球员马尔康，2021年从河北队自由身加盟武汉三镇。本赛季助武汉三镇夺得中超冠军，在中超出场26次，打进27球3次助攻。#马尔康加盟沙特球队##沙特球队三倍年薪挖角武汉三镇外援#,2023/1/20,34,11,5,"马尔康加盟沙特球队,沙特球队三倍年薪挖角武汉三镇外援"
0,1,0,1,1,官方消息，马竞签下28岁的巴萨前锋德佩，转会费300万欧元+100万浮动双方签约至2025年，球员此前已经跟随马竞进行训练。德佩出道于荷兰鹿特丹斯巴达青训，2006年转入埃因霍温青年队。2015年德佩3400万欧元转会曼联，2017年德佩1600万欧元转会里昂，2021年夏窗，德佩以自由球员身份加盟巴萨。 #德佩加盟马竞#,2023/1/20,20,12,0,德佩加盟马竞
0,1,0,1,10,#阿尔维斯涉嫌性侵被捕#据西班牙媒体RAC1报道，因涉嫌性侵，39岁的巴西名将达尼-阿尔维斯在巴塞罗那被捕。据悉，当地时间本周五上午，阿尔维斯前往警察局，上午10点左右，他在一辆警车上被捕。知情人士解释说，警方会把阿尔维斯带到巴塞罗那的法院，阿尔维斯将在此出庭，案件调查期间阿尔维斯的人身自由情况将由法官决定。根据此前报道，阿尔维斯卷入了一起性侵案件。一名女子指控去年2022年12月30日凌晨，在巴塞罗那的萨顿夜总会上，她被阿尔维斯性骚扰。后续有媒体披露事发时的监控录像，阿尔维斯与该女子曾一起在厕所待了47秒。,2023/1/20,1081,67,17,阿尔维斯涉嫌性侵被捕
0,1,0,1,1,扎心了！米利唐皇马生涯攻入8球 超过同年加盟的阿扎尔2019年夏窗，皇马分别从切尔西和波尔图引进阿扎尔和米利唐。截止至目前为止，米利唐各项赛事代表皇马出场113次，合计攻入8球；转投皇马后，阿扎尔只代表球队出场73次，打进7粒进球。 ,2023/1/20,39,7,13,
